Date,TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef
09/29/2001,UL-Lafayette,9,37,105,42,26,241,2,2,Mid Tennessee St,26,43,289,17,5,53,2,1
09/29/2001,UL-Monroe,0,15,30,35,16,147,2,0,New Mexico State,31,67,288,23,14,166,0,0
09/29/2001,Utah,37,48,255,30,15,210,1,1,New Mexico,16,36,146,36,10,165,1,2
09/29/2001,Utah State,21,25,77,48,27,378,4,0,Oregon,38,45,289,24,17,261,0,0
09/29/2001,Vanderbilt,21,37,168,43,20,162,1,1,Auburn,24,28,107,24,17,247,0,2
09/29/2001,Virginia,31,37,157,36,24,284,1,0,Duke,10,37,123,36,17,191,1,0
09/29/2001,Virginia Tech,46,50,232,29,16,203,0,3,Central Florida,14,26,24,36,18,227,3,2
09/29/2001,Wake Forest,24,57,265,25,10,171,3,0,Florida State,48,43,154,28,17,358,1,0
09/29/2001,Washington,31,44,115,33,18,291,0,0,California,28,32,90,38,22,280,0,2
09/29/2001,Washington State,48,51,138,33,17,283,1,1,Arizona,21,25,76,28,14,190,4,0
09/29/2001,West Virginia,20,43,151,52,31,279,4,2,Maryland,32,52,181,32,13,192,0,0
09/29/2001,Western Michigan,31,36,158,35,21,205,1,2,Eastern Michigan,10,38,146,29,16,93,1,2
09/29/2001,Wisconsin,24,44,193,23,10,141,2,0,Western Kentucky,6,53,115,4,1,28,0,1
09/29/2001,Wyoming,14,40,116,26,13,162,4,1,Colorado State,42,52,302,22,13,133,0,4
10/04/2001,Colorado State,2,37,61,23,10,87,3,1,Louisville,7,32,32,28,20,213,2,2
10/04/2001,Louisville,7,32,32,28,20,213,2,2,Colorado State,2,37,61,23,10,87,3,1
10/05/2001,Brigham Young,54,42,259,35,25,304,1,0,Utah State,34,33,143,43,25,283,2,0
10/05/2001,Utah State,34,33,143,43,25,283,2,0,Brigham Young,54,42,259,35,25,304,1,0
10/06/2001,Air Force,24,62,293,13,7,78,0,1,Navy,18,50,223,20,13,189,1,1
10/06/2001,Akron,14,54,243,27,13,114,0,0,Western Michigan,31,31,140,42,26,353,1,0
10/06/2001,Alabama,56,53,360,26,15,228,0,1,Texas-El Paso,7,29,133,19,8,99,1,2
10/06/2001,Alabama-Birmingham,7,27,35,26,13,76,0,2,Central Florida,24,33,38,37,21,290,1,1
10/06/2001,Arizona,28,36,258,31,14,225,2,3,Oregon,63,51,282,29,19,325,1,0
10/06/2001,Arizona State,63,42,215,27,14,328,1,1,UL-Lafayette,27,32,114,47,22,252,1,1
10/06/2001,Arkansas,42,44,322,18,8,129,1,1,Weber State,19,33,112,48,28,315,1,1
10/06/2001,Arkansas State,17,47,241,15,9,151,0,1,Mississippi,35,40,146,29,20,269,0,2
10/06/2001,Army,28,46,259,28,15,168,0,0,Houston,14,25,141,41,27,367,2,0
10/06/2001,Auburn,16,48,214,13,7,79,1,0,Mississippi State,14,34,122,25,12,176,1,1
10/06/2001,Baylor,10,34,85,38,19,147,2,1,Texas A & M,16,46,116,36,21,260,0,2
10/06/2001,Boise State,14,21,36,34,22,368,1,2,Rice,45,82,430,7,4,86,0,0
10/06/2001,Boston College,33,42,188,22,12,141,1,1,Temple,10,36,57,32,15,151,1,0
10/06/2001,Bowling Green,24,58,200,42,27,214,2,0,Kent State,7,21,54,24,13,143,1,4
10/06/2001,Buffalo,14,31,64,40,17,194,1,1,Miami-Ohio,31,42,128,30,23,212,1,1
10/06/2001,Central Florida,24,33,38,37,21,290,1,1,Alabama-Birmingham,7,27,35,26,13,76,0,2
10/06/2001,Cincinnati,46,50,227,32,22,312,0,1,Tulane,33,41,282,46,24,253,2,1
10/06/2001,Colorado,16,45,196,16,8,87,2,1,Kansas State,6,40,74,30,11,122,2,0
10/06/2001,Connecticut,19,40,108,32,14,180,1,0,Eastern Michigan,0,28,31,40,20,160,2,2
10/06/2001,Duke,10,37,102,29,11,201,0,2,Georgia Tech,37,48,210,40,24,295,2,1
10/06/2001,East Carolina,21,37,190,23,9,109,1,1,North Carolina,24,48,134,33,21,278,0,1
10/06/2001,Eastern Michigan,0,28,31,40,20,160,2,2,Connecticut,19,40,108,32,14,180,1,0
10/06/2001,Florida,44,26,128,41,26,504,2,0,Louisiana State,15,41,137,39,18,286,3,0
10/06/2001,Georgia,26,28,68,34,21,303,1,0,Tennessee,24,42,197,40,24,295,1,0
10/06/2001,Georgia Tech,37,48,210,40,24,295,2,1,Duke,10,37,102,29,11,201,0,2
10/06/2001,Hawaii,38,43,148,51,31,325,2,0,Southern Methodist,31,34,121,25,11,256,1,4
10/06/2001,Houston,14,25,141,41,27,367,2,0,Army,28,46,259,28,15,168,0,0
10/06/2001,Idaho,58,28,123,71,49,637,2,0,Mid Tennessee St,70,39,226,28,23,459,0,1
10/06/2001,Illinois,25,48,198,28,16,239,1,0,Minnesota,14,38,149,34,20,242,1,0
10/06/2001,Indiana,63,54,449,13,8,182,0,1,Wisconsin,32,39,106,25,16,225,1,3
10/06/2001,Iowa,14,34,33,34,22,174,2,0,Purdue,23,30,70,34,17,147,1,1
10/06/2001,Iowa State,14,38,122,29,13,214,2,0,Nebraska,48,54,359,16,11,117,1,0
10/06/2001,Kansas,34,57,288,32,13,116,0,0,Texas Tech,31,33,101,47,25,257,1,0
10/06/2001,Kansas State,6,40,74,30,11,122,2,0,Colorado,16,45,196,16,8,87,2,1
10/06/2001,Kent State,7,21,54,24,12,143,1,4,Bowling Green,24,59,202,42,27,214,2,0
10/06/2001,Kentucky,6,30,138,36,20,188,2,2,South Carolina,42,43,237,19,12,165,0,0
10/06/2001,Louisiana State,15,41,137,39,18,286,3,0,Florida,44,26,128,41,26,504,2,0
10/06/2001,Louisiana Tech,41,30,168,42,31,407,0,1,San Jose State,20,42,206,27,12,192,3,0
10/06/2001,Marshall,37,42,174,29,17,184,1,0,Northern Illinois,15,46,127,23,11,142,3,1
10/06/2001,Maryland,41,55,243,35,22,237,1,1,Virginia,21,25,64,38,21,281,1,1
10/06/2001,Memphis,22,34,79,30,14,103,0,0,Southern Miss,17,34,60,37,21,204,4,1
10/06/2001,Miami-Florida,38,28,101,37,21,327,0,0,Troy State,7,45,155,29,15,157,1,1
10/06/2001,Miami-Ohio,31,42,128,30,23,212,1,1,Buffalo,14,31,64,40,17,194,1,1
10/06/2001,Michigan,20,48,147,33,18,263,0,1,Penn State,0,26,25,38,21,244,2,1
10/06/2001,Mid Tennessee St,70,39,226,28,23,459,0,1,Idaho,58,28,123,71,49,637,2,0
10/06/2001,Minnesota,14,38,149,34,20,242,1,0,Illinois,25,48,198,28,16,239,1,0
10/06/2001,Mississippi,35,40,146,29,20,269,0,2,Arkansas State,17,47,241,15,9,151,0,1
10/06/2001,Mississippi State,14,34,109,25,12,176,1,1,Auburn,16,48,214,13,7,79,1,0
10/06/2001,Missouri,41,41,149,39,23,275,0,0,Oklahoma State,38,50,147,38,28,272,0,2
10/06/2001,Navy,18,50,223,20,13,189,1,1,Air Force,24,62,293,13,7,78,0,1
10/06/2001,Nebraska,48,54,359,16,11,117,1,0,Iowa State,14,38,122,29,13,214,2,0
10/06/2001,Nevada-Las Vegas,27,50,313,15,6,80,1,1,Nevada-Reno,12,43,243,42,20,165,2,0
10/06/2001,Nevada-Reno,12,43,243,42,20,165,2,0,Nevada-Las Vegas,27,50,313,15,6,80,1,1
10/06/2001,New Mexico,30,44,131,30,20,211,1,1,Wyoming,29,31,28,36,21,364,3,0
10/06/2001,New Mexico State,24,44,175,19,8,124,1,1,Tulsa,7,30,51,62,34,321,1,1
10/06/2001,No Carolina State,17,47,141,32,20,180,0,0,Wake Forest,14,50,221,18,6,95,1,2
10/06/2001,North Carolina,24,48,134,33,21,278,0,0,East Carolina,21,37,190,23,9,109,1,1
10/06/2001,Northern Illinois,15,46,127,23,11,142,3,1,Marshall,37,42,174,29,16,184,1,0
10/06/2001,Northwestern,20,48,170,31,18,136,1,1,Ohio State,38,53,287,10,4,109,1,0
10/06/2001,Notre Dame,24,57,249,13,10,70,0,0,Pittsburgh,7,26,50,22,11,182,3,2
10/06/2001,Ohio,41,47,194,18,11,107,0,2,Toledo,48,46,149,39,31,387,0,1
10/06/2001,Ohio State,38,53,287,10,4,109,1,0,Northwestern,20,48,170,31,18,136,1,1
10/06/2001,Oklahoma,14,31,63,33,20,143,0,0,Texas,3,25,27,42,24,198,4,0
10/06/2001,Oklahoma State,38,50,147,38,28,272,0,2,Missouri,41,41,149,39,23,275,0,0
10/06/2001,Oregon,63,51,283,29,19,325,1,0,Arizona,28,36,258,31,14,225,2,3
10/06/2001,Oregon State,27,23,24,41,22,276,3,3,Washington State,34,54,243,30,16,137,2,0
10/06/2001,Penn State,0,26,25,38,21,244,2,1,Michigan,20,48,147,33,18,263,0,1
10/06/2001,Pittsburgh,7,26,50,22,11,182,3,2,Notre Dame,24,57,249,13,10,70,0,0
10/06/2001,Purdue,23,30,70,34,17,147,1,1,Iowa,14,34,33,34,22,174,2,0
10/06/2001,Rice,45,82,430,7,4,86,0,0,Boise State,14,21,36,34,22,368,1,2
10/06/2001,Rutgers,17,40,194,34,19,224,1,0,Syracuse,24,48,354,17,7,100,1,1
10/06/2001,San Diego State,40,50,356,31,18,273,3,1,Eastern Illinois,7,23,27,28,15,199,2,0
10/06/2001,San Jose State,20,42,206,27,12,192,3,0,Louisiana Tech,41,30,168,42,31,407,0,1
10/06/2001,South Carolina,42,43,237,19,12,165,0,0,Kentucky,6,30,138,36,20,188,2,2
10/06/2001,South Florida,21,26,67,61,32,336,1,2,Utah,52,49,245,24,17,264,1,0
10/06/2001,Southern Cal,24,41,134,14,8,152,0,1,Washington,27,41,174,34,19,267,1,1
10/06/2001,Southern Methodist,31,34,121,25,11,256,1,4,Hawaii,38,43,148,51,31,325,2,0
10/06/2001,Southern Miss,17,34,60,37,21,204,4,1,Memphis,22,34,79,30,14,103,0,0
10/06/2001,Syracuse,24,48,367,17,7,100,1,1,Rutgers,17,40,194,34,19,224,1,0
10/06/2001,Temple,10,36,57,32,15,151,1,0,Boston College,33,42,188,22,12,141,1,1
10/06/2001,Tennessee,24,42,197,40,24,295,1,0,Georgia,26,28,68,34,21,303,1,0
10/06/2001,Texas,3,25,27,42,24,198,4,0,Oklahoma,14,31,63,33,20,143,0,0
10/06/2001,Texas A & M,16,46,116,36,21,260,0,2,Baylor,10,34,85,38,19,147,2,1
10/06/2001,Texas Tech,31,33,101,47,25,257,1,0,Kansas,34,57,288,32,13,116,0,0
10/06/2001,Texas-El Paso,7,29,133,19,8,99,1,2,Alabama,56,53,360,26,15,228,0,1
10/06/2001,Toledo,48,46,149,39,31,387,0,1,Ohio,41,47,194,18,11,107,0,2
10/06/2001,Troy State,7,45,155,29,15,157,1,1,Miami-Florida,38,28,101,37,21,327,0,0
10/06/2001,Tulane,33,41,282,46,24,253,2,1,Cincinnati,46,50,227,32,22,312,0,1
10/06/2001,Tulsa,7,30,51,62,34,321,1,1,New Mexico State,24,44,175,19,8,124,1,1
10/06/2001,UL-Lafayette,27,32,114,47,22,252,1,1,Arizona State,63,42,215,27,14,328,1,1
10/06/2001,Utah,52,49,245,24,17,264,1,0,South Florida,21,26,67,61,32,336,1,2
10/06/2001,Virginia,21,25,64,38,21,281,1,1,Maryland,41,55,243,35,22,237,1,1
10/06/2001,Virginia Tech,35,56,224,24,14,188,2,0,West Virginia,0,36,33,38,15,140,3,1
10/06/2001,Wake Forest,14,50,221,18,6,95,1,2,No Carolina State,17,47,141,32,20,180,0,0
10/06/2001,Washington,27,42,175,34,19,266,1,1,Southern Cal,24,41,134,14,8,152,0,1
10/06/2001,Washington State,34,54,243,30,16,137,2,2,Oregon State,27,23,24,41,22,276,3,3
10/06/2001,West Virginia,0,36,33,38,15,140,3,1,Virginia Tech,35,56,224,24,14,188,2,0
10/06/2001,Western Michigan,31,31,140,42,26,353,1,0,Akron,14,53,241,27,13,114,0,0
10/06/2001,Wisconsin,32,39,106,25,16,225,1,3,Indiana,63,54,450,13,8,182,0,1
10/06/2001,Wyoming,29,31,28,36,21,364,3,0,New Mexico,30,44,131,30,20,211,1,1
10/11/2001,Georgia Tech,17,39,50,45,26,320,3,3,Maryland,20,34,92,41,21,210,2,0
10/11/2001,Maryland,20,34,92,41,21,210,2,0,Georgia Tech,17,39,50,45,26,320,3,3
10/13/2001,Air Force,24,60,332,24,11,192,0,1,Wyoming,13,33,189,47,21,327,1,1
10/13/2001,Akron,27,42,97,31,21,307,0,0,Miami-Ohio,30,34,167,40,23,399,1,1
10/13/2001,Alabama,24,38,227,24,7,136,1,0,Mississippi,27,39,105,41,22,325,0,1
10/13/2001,Alabama-Birmingham,17,47,200,30,11,133,2,0,Cincinnati,31,36,66,20,12,154,1,0
10/13/2001,Arizona,3,30,46,24,10,113,2,1,Oregon State,38,49,195,34,17,220,2,0
10/13/2001,Arizona State,17,35,143,25,14,155,3,1,Southern Cal,48,43,118,26,18,295,0,1
10/13/2001,Arkansas,10,48,162,20,8,62,0,0,South Carolina,7,28,113,32,12,159,2,0
10/13/2001,Arkansas State,26,41,120,18,6,109,0,0,UL-Lafayette,20,28,119,40,29,261,1,2
10/13/2001,Army,26,43,153,38,21,289,1,1,East Carolina,49,42,263,22,13,178,0,1
10/13/2001,Auburn,23,41,79,27,13,160,0,2,Florida,20,18,-36,42,25,364,4,1
10/13/2001,Ball State,35,53,217,23,8,95,1,1,Eastern Michigan,14,34,160,41,19,193,2,1
10/13/2001,Baylor,7,33,29,43,15,158,3,1,Nebraska,48,73,641,9,4,47,0,5
10/13/2001,Boise State,41,43,165,37,27,405,0,1,Tulsa,10,18,34,35,22,186,0,0
10/13/2001,Boston College,20,28,58,26,13,180,0,3,Virginia Tech,34,49,171,29,16,225,2,0
10/13/2001,Bowling Green,28,43,217,33,20,202,3,2,Western Michigan,37,32,58,42,28,333,0,1
10/13/2001,Brigham Young,24,31,107,41,22,258,0,0,New Mexico,20,48,198,35,18,180,3,0
10/13/2001,Buffalo,14,38,162,33,16,207,2,1,Marshall,34,36,108,49,37,455,2,1
10/13/2001,California,7,20,78,52,25,244,3,2,Oregon,48,51,257,24,15,206,0,2
10/13/2001,Central Florida,63,38,216,32,21,386,0,0,Liberty,0,28,67,33,19,163,0,1
10/13/2001,Central Michigan,3,50,215,27,17,101,1,1,Ohio,34,60,342,8,4,94,0,1
10/13/2001,Cincinnati,31,36,66,20,12,154,1,0,Alabama-Birmingham,17,47,200,30,11,133,2,0
10/13/2001,Clemson,45,52,234,27,23,333,0,2,No Carolina State,37,21,21,48,25,331,1,0
10/13/2001,Colorado,31,52,170,28,14,183,1,0,Texas A & M,21,19,42,50,30,334,2,1
10/13/2001,Colorado State,22,52,322,24,13,116,0,0,Fresno State,25,29,143,37,28,389,0,0
10/13/2001,Connecticut,21,38,135,42,22,209,1,2,South Florida,40,32,64,39,25,270,2,1
10/13/2001,Duke,35,33,81,36,21,251,3,1,Wake Forest,42,62,265,20,12,144,1,1
10/13/2001,East Carolina,49,42,263,22,13,178,0,1,Army,26,43,153,38,21,289,1,1
10/13/2001,Eastern Michigan,14,34,160,41,19,193,2,1,Ball State,35,53,217,23,8,95,1,1
10/13/2001,Florida,20,18,-36,42,25,364,4,1,Auburn,23,41,79,27,13,160,0,2
10/13/2001,Florida State,27,48,214,37,17,262,4,2,Miami-Florida,49,36,142,27,14,249,0,3
10/13/2001,Fresno State,25,29,143,37,28,389,0,0,Colorado State,22,52,322,24,13,116,0,0
10/13/2001,Georgia,30,31,139,26,19,305,0,3,Vanderbilt,14,38,120,50,24,316,0,1
10/13/2001,Hawaii,66,33,174,39,20,316,1,1,Texas-El Paso,7,45,158,31,10,86,3,2
10/13/2001,Houston,33,28,130,42,28,331,2,0,Memphis,52,51,252,22,14,216,0,1
10/13/2001,Idaho,39,34,167,44,27,288,5,1,New Mexico State,46,59,356,19,12,124,0,2
10/13/2001,Illinois,35,57,276,17,12,116,1,1,Indiana,14,40,194,36,18,165,1,0
10/13/2001,Indiana,14,40,194,36,18,165,1,0,Illinois,35,57,276,17,12,116,1,1
10/13/2001,Iowa,28,35,144,41,22,220,4,0,Michigan State,31,39,90,22,14,179,0,2
10/13/2001,Iowa State,20,44,207,22,13,75,0,0,Missouri,14,37,229,32,14,137,1,1
10/13/2001,Kansas,10,40,84,26,9,139,1,3,Oklahoma,38,37,237,40,23,166,2,1
10/13/2001,Kansas State,19,50,146,40,16,197,2,0,Texas Tech,38,20,66,48,32,409,3,1
10/13/2001,Kent State,44,56,307,21,12,196,0,0,Northern Illinois,34,37,112,39,19,248,0,0
10/13/2001,Kentucky,25,24,127,42,23,286,2,0,Louisiana State,29,38,132,38,27,383,2,0
10/13/2001,Louisiana State,29,38,132,38,27,383,2,0,Kentucky,25,24,127,42,23,286,2,0
10/13/2001,Louisiana Tech,45,32,105,49,30,456,0,1,Nevada-Reno,42,52,321,27,19,196,1,0
10/13/2001,Marshall,34,36,108,49,37,455,2,1,Buffalo,14,38,162,33,16,207,2,1
10/13/2001,Memphis,52,51,252,22,14,216,0,1,Houston,33,28,130,42,28,331,1,0
10/13/2001,Miami-Florida,49,36,142,27,14,249,0,3,Florida State,27,48,214,37,17,262,4,2
10/13/2001,Miami-Ohio,30,34,167,40,23,399,1,1,Akron,27,42,97,31,21,309,0,0
10/13/2001,Michigan,24,38,122,28,21,233,1,3,Purdue,10,37,57,33,16,198,0,1
10/13/2001,Michigan State,31,39,90,22,14,179,0,2,Iowa,28,35,144,41,22,220,4,0
10/13/2001,Mid Tennessee St,21,36,123,26,19,171,1,3,North Texas,24,58,216,19,8,117,2,0
10/13/2001,Minnesota,17,50,257,34,10,143,3,0,Northwestern,23,46,113,32,22,237,1,0
10/13/2001,Mississippi,27,39,105,41,22,325,0,1,Alabama,24,38,227,24,7,136,1,0
10/13/2001,Mississippi State,9,47,128,34,13,144,3,1,Troy State,21,33,82,26,10,130,3,2
10/13/2001,Missouri,14,37,229,32,14,137,1,1,Iowa State,20,44,207,22,13,75,0,0
10/13/2001,Navy,13,51,150,16,10,125,0,0,Rice,21,66,276,10,6,102,0,1
10/13/2001,Nebraska,48,73,641,9,4,47,0,5,Baylor,7,33,29,43,15,158,3,1
10/13/2001,Nevada-Las Vegas,31,56,274,19,12,153,1,0,San Diego State,3,26,39,28,14,121,0,0
10/13/2001,Nevada-Reno,42,52,321,27,19,196,1,0,Louisiana Tech,45,32,105,49,30,456,0,1
10/13/2001,New Mexico,20,48,198,35,18,180,3,0,Brigham Young,24,31,107,41,22,258,0,0
10/13/2001,New Mexico State,46,59,356,19,12,124,0,2,Idaho,39,34,167,44,27,288,5,1
10/13/2001,No Carolina State,37,21,21,48,25,331,1,0,Clemson,45,52,234,27,23,333,0,2
10/13/2001,North Carolina,30,56,234,21,13,243,1,2,Virginia,24,18,71,55,33,334,1,0
10/13/2001,North Texas,24,88,352,37,19,265,4,1,Mid Tennessee St,21,80,261,50,37,352,2,4
10/13/2001,Northern Illinois,34,37,112,39,19,250,0,0,Kent State,44,56,307,21,12,196,0,0
10/13/2001,Northwestern,23,46,113,32,22,237,1,0,Minnesota,17,50,257,34,10,143,3,0
10/13/2001,Notre Dame,34,69,345,14,7,70,1,1,West Virginia,24,37,179,23,9,91,1,0
10/13/2001,Ohio,34,60,342,8,4,94,0,1,Central Michigan,3,50,215,27,17,101,1,1
10/13/2001,Ohio State,17,50,121,21,10,132,1,0,Wisconsin,20,35,127,22,12,202,1,0
10/13/2001,Oklahoma,38,37,237,40,23,166,2,1,Kansas,10,40,84,26,9,139,1,3
10/13/2001,Oklahoma State,17,30,65,23,11,97,2,2,Texas,45,52,241,31,19,238,1,1
10/13/2001,Oregon,48,51,257,24,15,206,0,2,California,7,20,78,52,25,244,3,2
10/13/2001,Oregon State,38,49,195,34,17,220,2,0,Arizona,3,30,46,24,10,113,2,1
10/13/2001,Pittsburgh,10,39,92,30,11,180,3,2,Syracuse,42,49,172,20,11,139,1,1
10/13/2001,Purdue,10,37,57,33,16,198,0,1,Michigan,24,38,122,28,21,233,1,3
10/13/2001,Rice,21,66,276,10,6,102,0,1,Navy,13,51,150,16,10,125,0,0
10/13/2001,Rutgers,5,32,32,41,17,171,3,3,Temple,30,45,193,23,10,170,1,2
10/13/2001,San Diego State,3,26,39,28,14,121,0,0,Nevada-Las Vegas,31,56,274,19,12,153,1,0
10/13/2001,San Jose State,17,42,148,30,13,176,0,1,Southern Methodist,24,55,347,13,4,44,0,1
10/13/2001,South Carolina,7,28,113,32,12,159,2,0,Arkansas,10,48,162,20,8,62,0,0
10/13/2001,South Florida,40,32,64,39,25,270,2,1,Connecticut,21,38,135,42,22,209,1,2
10/13/2001,Southern Cal,48,43,118,26,18,295,0,1,Arizona State,17,35,143,25,14,155,3,1
10/13/2001,Southern Methodist,24,55,347,13,4,44,0,1,San Jose State,17,42,148,30,13,176,0,1
10/13/2001,Stanford,39,46,219,36,17,220,2,1,Washington State,45,39,114,31,16,240,1,1
10/13/2001,Syracuse,42,49,172,20,11,139,1,1,Pittsburgh,10,39,92,30,11,180,3,2
10/13/2001,Temple,30,45,193,23,10,170,1,2,Rutgers,5,32,32,41,17,171,3,3
10/13/2001,Texas,45,52,241,31,19,238,1,1,Oklahoma State,17,30,65,23,11,97,2,2
10/13/2001,Texas A & M,21,19,42,50,30,334,2,1,Colorado,31,52,170,28,14,183,1,0
10/13/2001,Texas Christian,22,44,131,36,18,183,3,2,Tulane,48,35,116,31,21,355,1,0
10/13/2001,Texas Tech,38,20,66,48,32,409,3,1,Kansas State,19,50,146,40,16,197,2,0
10/13/2001,Texas-El Paso,7,45,158,31,10,86,3,2,Hawaii,66,33,174,39,20,316,1,1
10/13/2001,Troy State,21,33,82,26,10,130,3,2,Mississippi State,9,47,128,34,13,144,3,1
10/13/2001,Tulane,48,35,116,31,21,355,1,0,Texas Christian,22,44,131,36,18,183,3,2
10/13/2001,Tulsa,10,18,34,35,22,186,0,0,Boise State,41,43,165,37,27,405,0,1
10/13/2001,U.C.L.A.,35,45,325,19,9,128,0,3,Washington,13,29,16,45,22,316,1,2
10/13/2001,UL-Lafayette,20,28,119,40,29,261,1,2,Arkansas State,26,41,120,18,6,109,0,0
10/13/2001,Vanderbilt,14,38,120,50,24,316,0,1,Georgia,30,31,139,26,19,305,0,3
10/13/2001,Virginia,24,18,71,55,33,334,1,0,North Carolina,30,56,234,21,13,243,1,2
10/13/2001,Virginia Tech,34,49,171,29,16,225,2,0,Boston College,20,28,58,26,13,180,0,3
10/13/2001,Wake Forest,42,62,265,20,12,144,1,1,Duke,35,33,81,36,21,251,3,1
10/13/2001,Washington,13,29,16,45,22,316,1,2,U.C.L.A.,35,45,325,19,9,128,0,3
10/13/2001,Washington State,45,39,114,31,16,240,1,1,Stanford,39,46,219,36,17,220,2,1
10/13/2001,West Virginia,24,37,179,23,9,91,1,0,Notre Dame,34,69,345,14,7,70,1,1
10/13/2001,Western Michigan,37,32,58,42,28,333,0,1,Bowling Green,28,43,217,33,20,202,3,2
10/13/2001,Wisconsin,20,35,127,22,12,202,1,0,Ohio State,17,50,121,21,10,132,1,0
10/13/2001,Wyoming,13,33,189,47,21,327,1,1,Air Force,24,60,332,24,11,192,0,1
10/16/2001,Louisville,24,44,42,32,17,186,0,0,Southern Miss,14,31,7,29,13,219,1,3
10/16/2001,Southern Miss,14,31,7,29,13,219,1,3,Louisville,24,44,42,32,17,186,0,0
10/18/2001,Washington State,53,40,217,43,28,436,1,2,Montana State,28,27,134,43,24,306,1,1
10/19/2001,Boise State,35,38,108,32,20,297,2,0,Fresno State,30,37,109,50,30,345,1,1
10/19/2001,Fresno State,30,37,109,50,30,345,1,1,Boise State,35,38,108,32,20,297,2,0
10/20/2001,Air Force,33,52,334,22,12,168,1,0,Brigham Young,63,37,203,43,27,408,0,0
10/20/2001,Akron,11,35,85,31,13,175,3,0,Bowling Green,16,45,131,22,13,133,0,1
10/20/2001,Alabama,24,31,163,23,10,165,0,0,Tennessee,35,45,187,28,21,293,0,0
10/20/2001,Alabama-Birmingham,34,68,307,18,6,76,2,2,Tulane,27,22,8,40,23,197,1,0
10/20/2001,Arizona,28,44,199,28,16,195,1,1,Washington,31,28,83,49,29,455,4,1
10/20/2001,Arizona State,41,44,314,27,9,208,1,1,Oregon State,24,32,79,39,23,238,0,1
10/20/2001,Arkansas State,0,32,67,21,9,90,2,1,North Texas,45,49,134,10,6,143,0,1
10/20/2001,Army,20,32,97,27,14,230,0,1,Texas Christian,38,50,212,29,21,273,0,0
10/20/2001,Auburn,48,40,173,48,28,381,4,0,Louisiana Tech,41,25,152,52,27,381,5,1
10/20/2001,Ball State,24,34,44,35,20,222,3,0,Toledo,20,29,70,44,27,270,1,2
10/20/2001,Baylor,17,35,106,30,11,138,1,0,Oklahoma,33,39,60,44,32,343,0,1
10/20/2001,Boston College,45,54,257,21,14,241,0,1,Pittsburgh,7,32,122,35,14,108,2,0
10/20/2001,Bowling Green,16,45,131,22,13,133,0,1,Akron,11,35,85,31,13,175,3,0
10/20/2001,Brigham Young,63,37,203,43,27,408,0,0,Air Force,33,52,334,22,12,168,1,0
10/20/2001,Buffalo,13,38,80,34,16,193,3,0,Kent State,35,41,238,19,15,194,0,1
10/20/2001,California,17,33,127,46,19,201,1,0,U.C.L.A.,56,38,228,19,15,303,0,0
10/20/2001,Central Florida,38,21,50,39,28,335,1,1,UL-Monroe,6,26,68,32,17,176,3,1
10/20/2001,Central Michigan,21,53,261,34,16,222,1,0,Marshall,42,33,163,46,31,484,0,0
10/20/2001,Cincinnati,29,36,142,28,20,340,1,1,Houston,28,47,157,24,16,186,0,0
10/20/2001,Clemson,3,28,65,46,14,144,2,0,North Carolina,38,54,219,18,14,206,0,0
10/20/2001,Colorado,7,32,124,28,15,165,1,3,Texas,41,40,161,33,21,264,0,0
10/20/2001,Colorado State,26,41,151,21,9,168,1,2,Nevada-Las Vegas,24,57,255,21,8,173,0,4
10/20/2001,Duke,17,35,133,32,13,163,3,1,Maryland,59,54,362,36,28,335,1,2
10/20/2001,East Carolina,32,57,205,26,20,268,0,0,Memphis,11,31,72,27,16,159,0,0
10/20/2001,Florida State,43,58,303,25,14,230,2,1,Virginia,7,19,34,39,19,167,3,2
10/20/2001,Georgia,43,43,197,37,23,394,1,1,Kentucky,29,22,116,54,32,377,2,1
10/20/2001,Georgia Tech,27,43,124,39,24,256,0,1,No Carolina State,17,26,41,32,20,223,2,1
10/20/2001,Hawaii,36,33,61,39,26,333,0,0,Tulsa,15,37,142,35,17,165,0,1
10/20/2001,Houston,28,47,157,24,16,186,0,0,Cincinnati,29,36,142,28,20,340,1,1
10/20/2001,Idaho,37,34,117,42,27,410,2,2,UL-Lafayette,54,50,234,35,27,407,1,0
10/20/2001,Illinois,42,48,169,45,24,401,1,1,Wisconsin,35,27,126,29,14,205,0,0
10/20/2001,Indiana,28,56,308,28,14,160,0,0,Iowa,42,33,226,17,13,228,1,0
10/20/2001,Iowa,42,33,226,17,13,228,1,0,Indiana,28,56,308,28,14,160,0,0
10/20/2001,Iowa State,28,58,285,19,16,150,0,0,Oklahoma State,14,18,42,39,24,234,1,0
10/20/2001,Kansas,34,34,102,25,13,242,0,0,Missouri,38,47,231,32,19,246,2,0
10/20/2001,Kansas State,24,61,258,24,12,100,1,2,Texas A & M,31,32,51,20,11,138,0,0
10/20/2001,Kent State,35,41,238,19,15,194,0,1,Buffalo,13,38,80,34,16,193,3,0
10/20/2001,Kentucky,29,22,116,54,32,377,2,1,Georgia,43,43,197,37,23,394,1,1
10/20/2001,Louisiana State,42,37,138,29,18,280,0,0,Mississippi State,0,34,74,42,18,248,3,1
