Week,Team,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef
09/02/2000,North Carolina,30,44,173,30,16,242,0,2,Tulsa,9,27,19,38,17,214,0,1
09/02/2000,No Carolina State,38,35,142,57,29,397,0,3,Arkansas State,31,45,179,25,13,152,0,2
09/02/2000,Notre Dame,24,49,194,16,10,133,0,0,Texas A & M,10,37,90,28,16,165,1,0
09/02/2000,Nebraska,49,60,505,13,5,91,3,0,San Jose State,13,29,193,37,14,153,1,0
09/02/2000,UL-Monroe,10,33,59,32,17,173,0,2,Minnesota,47,46,172,28,18,258,0,0
09/02/2000,Nevada,7,34,-3,30,8,106,3,0,Oregon,36,42,225,27,12,231,1,1
09/02/2000,Northern Illinois,17,34,112,40,20,254,2,1,Northwestern,35,57,236,27,16,176,0,1
09/02/2000,New Mexico,14,44,156,26,12,122,2,0,Boise State,31,35,139,34,17,168,0,0
09/02/2000,New Mexico State,0,46,121,19,8,76,2,1,South Carolina,31,39,204,26,14,149,1,2
09/02/2000,North Texas,7,34,95,17,10,144,2,2,Baylor,20,36,107,30,18,218,0,0
09/02/2000,Northwestern,35,57,236,27,16,176,0,1,Northern Illinois,17,34,112,40,20,254,2,1
09/02/2000,Ohio,15,41,179,25,9,130,2,2,Iowa State,25,40,204,30,16,196,1,0
09/02/2000,Ohio State,43,50,223,20,11,166,0,1,Fresno State,10,27,87,51,31,285,4,2
09/02/2000,Oklahoma,55,33,122,39,19,287,1,2,Texas-El Paso,14,38,125,42,21,217,2,5
09/02/2000,Oregon,36,42,225,27,12,231,1,1,Nevada,7,34,-3,30,8,106,3,0
09/02/2000,Oregon State,21,49,194,29,13,132,2,2,Eastern Washington,19,33,58,30,13,139,1,2
09/02/2000,Penn State,6,27,30,24,10,136,0,1,Toledo,24,54,245,28,18,140,0,0
09/02/2000,Pittsburgh,30,32,119,26,13,293,0,0,Kent State,7,35,83,32,18,205,2,0
09/02/2000,Purdue,48,40,145,45,26,336,0,0,Central Michigan,0,38,65,28,16,150,0,3
09/02/2000,Rice,30,61,198,16,5,85,0,2,Houston,27,29,45,47,32,339,1,2
09/02/2000,Rutgers,34,32,46,44,27,323,1,0,Villanova,21,23,57,49,29,285,2,1
09/02/2000,South Carolina,31,39,204,26,14,149,1,2,New Mexico State,0,46,121,19,8,76,2,1
09/02/2000,San Diego State,7,28,100,57,24,219,1,0,Arizona State,10,40,110,42,18,160,1,0
09/02/2000,San Jose State,13,29,193,37,14,153,1,0,Nebraska,49,60,505,13,5,91,3,0
09/02/2000,Southern Miss,16,31,71,30,22,232,0,2,Tennessee,19,40,145,25,13,125,1,0
09/02/2000,Southern Methodist,31,44,151,25,14,164,1,0,Kansas,17,32,81,42,16,210,0,3
09/02/2000,Stanford,24,38,118,28,17,256,0,1,Washington State,10,36,91,36,20,161,2,0
09/02/2000,UL-Lafayette,14,44,150,24,9,90,0,1,Sam Houston State,21,35,98,30,17,151,1,1
09/02/2000,Syracuse,63,50,304,9,6,82,1,0,Buffalo,7,33,102,36,16,168,2,3
09/02/2000,Temple,17,58,231,27,17,188,0,2,Navy,6,30,73,13,6,75,0,0
09/02/2000,Tennessee,19,40,145,25,13,125,1,0,Southern Miss,16,31,71,30,22,232,0,2
09/02/2000,Toledo,24,54,245,28,18,140,0,0,Penn State,6,27,30,24,10,136,0,1
09/02/2000,Texas Tech,38,28,77,57,37,505,1,0,Utah State,16,28,147,35,16,153,1,2
09/02/2000,Tulane,20,35,120,38,17,204,1,0,Mississippi,49,35,118,31,19,306,0,0
09/02/2000,Tulsa,9,27,19,38,17,214,0,1,North Carolina,30,44,173,30,16,242,0,2
09/02/2000,Texas A & M,10,37,90,28,16,165,1,0,Notre Dame,24,49,194,16,10,133,0,0
09/02/2000,U.C.L.A.,35,57,171,27,15,225,1,0,Alabama,24,30,146,30,11,119,1,2
09/02/2000,Utah,3,39,60,51,21,310,2,3,Arizona,17,39,135,15,3,11,0,0
09/02/2000,Texas-El Paso,14,38,125,42,21,217,2,5,Oklahoma,55,33,122,39,19,287,1,2
09/02/2000,Utah State,16,28,147,35,16,153,1,2,Texas Tech,38,28,77,57,37,505,1,0
09/02/2000,Vanderbilt,30,32,56,25,18,307,0,0,"Miami, Ohio",33,28,71,42,24,358,1,1
09/02/2000,Virginia,35,42,270,23,13,217,1,0,Brigham Young,38,34,93,42,34,447,2,1
09/02/2000,Virginia Tech,52,48,335,16,9,214,1,3,Akron,23,44,162,30,14,248,1,1
09/02/2000,Washington,44,44,239,31,17,235,1,0,Idaho,20,33,145,30,23,256,1,4
09/02/2000,Washington State,10,36,91,36,20,161,2,0,Stanford,24,38,118,28,17,256,0,1
09/02/2000,Wake Forest,16,33,55,21,10,126,2,2,Appalachian State,20,50,147,34,19,235,2,2
09/02/2000,Wisconsin,19,57,156,11,6,96,0,0,Western Michigan,7,20,-1,39,20,243,1,1
09/02/2000,Western Michigan,7,20,-1,39,20,243,1,1,Wisconsin,19,57,156,11,6,96,0,0
09/02/2000,West Virginia,34,53,189,19,7,166,0,0,Boston College,14,33,79,33,15,127,3,2
09/02/2000,Wyoming,21,27,29,36,20,213,1,0,Auburn,35,45,177,21,12,266,0,2
09/09/2000,Air Force,31,53,186,16,11,203,0,0,Brigham Young,23,26,125,40,18,235,1,2
09/09/2000,Akron,7,39,184,24,8,68,2,0,Central Michigan,17,50,171,19,9,173,0,0
09/09/2000,Arkansas State,7,21,84,33,21,191,1,0,Oklahoma,45,35,208,34,26,325,1,0
09/09/2000,Alabama,28,42,292,15,6,57,0,0,Vanderbilt,10,31,85,26,12,172,0,0
09/09/2000,Arizona,17,39,57,23,11,137,0,1,Ohio State,27,40,101,20,12,240,1,2
09/09/2000,Army,17,39,161,38,20,193,3,0,Boston College,55,48,252,30,20,335,0,0
09/09/2000,Auburn,35,51,261,26,13,160,0,1,Mississippi,27,32,152,26,11,105,3,0
09/09/2000,Ball State,14,36,165,33,16,156,4,1,Western Illinois,24,50,196,18,6,66,1,1
09/09/2000,Boise State,42,37,238,26,17,351,2,0,Northern Iowa,17,43,134,36,18,243,0,1
09/09/2000,Boston College,55,48,252,30,20,335,0,0,Army,17,39,161,38,20,193,3,0
09/09/2000,Bowling Green,16,39,35,39,19,197,1,1,Pittsburgh,34,35,36,32,22,321,0,3
09/09/2000,Buffalo,0,37,-7,45,24,223,1,3,Rutgers,59,39,187,29,19,266,0,1
09/09/2000,Brigham Young,23,26,125,40,18,235,1,2,Air Force,31,53,186,16,11,203,0,0
09/09/2000,California,24,45,120,28,18,209,1,2,Utah,21,38,139,31,16,158,1,3
09/09/2000,Central Florida,19,33,132,34,21,253,1,0,Northwestern St(LA),7,42,189,31,9,128,1,1
