Date,TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,Site,Line
08/31/2006,Arizona State,35,34,154,24,17,261,1,1,Northern Arizona,14,39,53,20,15,259,1,0,H, 
08/31/2006,Ball State,38,36,159,28,17,230,0,0,Eastern Michigan,20,38,226,28,18,209,1,0,H,4.5
08/31/2006,Boise State,45,42,215,24,15,212,0,1,Sacramento State,0,28,50,15,6,32,2,0,H, 
08/31/2006,Boston College,31,32,85,48,32,323,0,2,Central Michigan,24,27,123,42,24,243,1,1,V,11
08/31/2006,Buffalo,9,41,168,24,13,188,0,1,Temple,3,27,80,25,20,103,1,0,H,6.5
08/31/2006,Central Michigan,24,27,123,42,24,243,1,1,Boston College,31,32,85,48,32,323,0,2,H,-11
08/31/2006,Connecticut,52,52,418,13,8,149,0,0,Rhode Island,7,49,198,18,7,95,2,0,H, 
08/31/2006,Eastern Michigan,20,38,226,28,18,209,1,0,Ball State,38,36,159,28,17,230,0,0,V,-4.5
08/31/2006,Florida Intl,6,25,97,39,22,150,0,1,Middle Tennessee,7,35,92,18,11,83,1,0,V,-9
08/31/2006,Iowa State,45,41,159,26,17,234,0,1,Toledo,43,27,45,49,39,367,1,1,H,9
08/31/2006,Kent State,0,37,132,13,7,150,3,3,Minnesota,44,55,322,15,8,146,1,0,H,-15
08/31/2006,Miami-Ohio,3,29,72,26,16,175,0,0,Northwestern,21,39,193,17,13,106,0,0,H,-6
08/31/2006,Middle Tennessee,7,35,92,18,11,83,1,0,Florida Intl,6,25,97,39,22,150,0,1,H,9
08/31/2006,Minnesota,44,55,322,15,8,146,1,0,Kent State,0,37,132,13,7,150,3,3,V,15
08/31/2006,Mississippi State,0,33,79,23,8,82,2,0,South Carolina,15,29,81,27,15,193,1,0,H,-6.5
08/31/2006,New Mexico State,30,44,134,40,29,381,0,4,S E Louisiana,15,26,88,28,17,130,1,1,H, 
08/31/2006,Northwestern,21,39,193,17,13,106,0,0,Miami-Ohio,3,29,72,26,16,175,0,0,V,6
08/31/2006,Oregon State,56,38,209,30,19,274,1,1,Eastern Washington,17,30,-14,26,12,140,1,3,H, 
08/31/2006,San Diego State,27,46,109,30,24,275,2,1,UTEP,34,20,38,28,19,205,4,0,H,2.5
08/31/2006,South Carolina,15,29,81,27,15,193,1,0,Mississippi State,0,33,79,23,8,82,2,0,V,6.5
08/31/2006,Temple,3,27,80,25,20,103,1,0,Buffalo,9,41,168,24,13,188,0,1,V,-6.5
08/31/2006,Toledo,43,27,45,49,39,367,1,1,Iowa State,45,41,159,26,17,234,0,1,V,-9
